File Path,Label,Frame Count,Width,Height,Identity Namespace,Identity Ids,Identity Group
DeepFakeDetection/01_02__meeting_serious__YVGY8LOK.mp4,FAKE,1044,1920,1080,dfd,01_02,
DeepFakeDetection/01_02__outside_talking_still_laughing__YVGY8LOK.mp4,FAKE,727,1920,1080,dfd,01_02,
DeepFakeDetection/01_02__talking_against_wall__YVGY8LOK.mp4,FAKE,841,1920,1080,dfd,01_02,
DeepFakeDetection/01_02__walk_down_hall_angry__YVGY8LOK.mp4,FAKE,217,1920,1080,dfd,01_02,
DeepFakeDetection/01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,FAKE,773,1920,1080,dfd,01_02,
DeepFakeDetection/01_03__hugging_happy__ISF9SP4G.mp4,FAKE,605,1920,1080,dfd,01_03,
DeepFakeDetection/01_03__kitchen_pan__JZUXXFRB.mp4,FAKE,455,1920,1080,dfd,01_03,
DeepFakeDetection/01_03__podium_speech_happy__480LQD1C.mp4,FAKE,898,1920,1080,dfd,01_03,
DeepFakeDetection/01_03__talking_against_wall__JZUXXFRB.mp4,FAKE,843,1920,1080,dfd,01_03,
DeepFakeDetection/01_04__hugging_happy__GBC7ZGDP.mp4,FAKE,538,1920,1080,dfd,01_04,
DeepFakeDetection/01_04__meeting_serious__0XUW13RW.mp4,FAKE,1045,1920,1080,dfd,01_04,
DeepFakeDetection/01_04__talking_angry_couch__0XUW13RW.mp4,FAKE,1465,1920,1080,dfd,01_04,
DeepFakeDetection/01_04__walk_down_hall_angry__GBC7ZGDP.mp4,FAKE,224,1920,1080,dfd,01_04,
DeepFakeDetection/01_09__talking_angry_couch__P70H1JB0.mp4,FAKE,1463,1920,1080,dfd,01_09,
DeepFakeDetection/01_11__hugging_happy__4OJNJLOO.mp4,FAKE,579,1920,1080,dfd,01_11,
DeepFakeDetection/01_11__meeting_serious__9OM3VE0Y.mp4,FAKE,1045,1920,1080,dfd,01_11,
DeepFakeDetection/01_11__meeting_serious__FCNL2OVP.mp4,FAKE,1045,1920,1080,dfd,01_11,
DeepFakeDetection/01_11__outside_talking_pan_laughing__WIZ7GKOD.mp4,FAKE,506,1920,1080,dfd,01_11,
DeepFakeDetection/01_11__secret_conversation__4OJNJLOO.mp4,FAKE,901,1920,1080,dfd,01_11,
DeepFakeDetection/01_11__talking_against_wall__4OJNJLOO.mp4,FAKE,839,1920,1080,dfd,01_11,
DeepFakeDetection/01_11__talking_against_wall__9229VVZ3.mp4,FAKE,843,1920,1080,dfd,01_11,
DeepFakeDetection/01_11__talking_against_wall__UQ0BOBNO.mp4,FAKE,842,1920,1080,dfd,01_11,
DeepFakeDetection/01_11__walking_outside_cafe_disgusted__FAFWDR4W.mp4,FAKE,240,1920,1080,dfd,01_11,
DeepFakeDetection/01_12__outside_talking_pan_laughing__TNI7KUZ6.mp4,FAKE,292,1920,1080,dfd,01_12,
DeepFakeDetection/01_12__outside_talking_still_laughing__TNI7KUZ6.mp4,FAKE,361,1920,1080,dfd,01_12,
DeepFakeDetection/01_15__exit_phone_room__02HILKYO.mp4,FAKE,208,1920,1080,dfd,01_15,
DeepFakeDetection/01_15__kitchen_still__02HILKYO.mp4,FAKE,551,1920,1080,dfd,01_15,
DeepFakeDetection/01_15__meeting_serious__02HILKYO.mp4,FAKE,1045,1920,1080,dfd,01_15,
DeepFakeDetection/01_15__outside_talking_pan_laughing__02HILKYO.mp4,FAKE,510,1920,1080,dfd,01_15,
DeepFakeDetection/01_20__hugging_happy__FW94AIMJ.mp4,FAKE,540,1920,1080,dfd,01_20,
DeepFakeDetection/01_20__kitchen_pan__6UBMLXK3.mp4,FAKE,471,1920,1080,dfd,01_20,
DeepFakeDetection/01_20__outside_talking_pan_laughing__OTGHOG4Z.mp4,FAKE,504,1920,1080,dfd,01_20,
DeepFakeDetection/01_20__outside_talking_still_laughing__FW94AIMJ.mp4,FAKE,727,1920,1080,dfd,01_20,
DeepFakeDetection/01_20__walk_down_hall_angry__FW94AIMJ.mp4,FAKE,225,1920,1080,dfd,01_20,
DeepFakeDetection/01_21__talking_angry_couch__03X7CELV.mp4,FAKE,1466,1920,1080,dfd,01_21,
DeepFakeDetection/01_21__walk_down_hall_angry__03X7CELV.mp4,FAKE,225,1920,1080,dfd,01_21,
DeepFakeDetection/01_26__outside_talking_pan_laughing__ZMEJ535O.mp4,FAKE,472,1920,1080,dfd,01_26,
DeepFakeDetection/01_27__hugging_happy__ZYCZ30C0.mp4,FAKE,596,1920,1080,dfd,01_27,
DeepFakeDetection/01_27__meeting_serious__ZYCZ30C0.mp4,FAKE,1045,1920,1080,dfd,01_27,
DeepFakeDetection/01_27__outside_talking_pan_laughing__S2YCUY48.mp4,FAKE,511,1920,1080,dfd,01_27,
DeepFakeDetection/01_27__outside_talking_still_laughing__ZYCZ30C0.mp4,FAKE,737,1920,1080,dfd,01_27,
DeepFakeDetection/01_27__walking_outside_cafe_disgusted__ZYCZ30C0.mp4,FAKE,225,1920,1080,dfd,01_27,
DeepFakeDetection/02_01__outside_talking_still_laughing__YVGY8LOK.mp4,FAKE,810,1920,1080,dfd,02_01,
DeepFakeDetection/02_01__secret_conversation__YVGY8LOK.mp4,FAKE,641,1920,1080,dfd,02_01,
DeepFakeDetection/02_01__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,FAKE,821,1920,1080,dfd,02_01,
DeepFakeDetection/02_01__walking_outside_cafe_disgusted__YVGY8LOK.mp4,FAKE,499,1920,1080,dfd,02_01,
DeepFakeDetection/02_03__walking_down_street_outside_angry__QH3Y0IG0.mp4,FAKE,458,1920,1080,dfd,02_03,
DeepFakeDetection/02_03__walking_outside_cafe_disgusted__QH3Y0IG0.mp4,FAKE,499,1920,1080,dfd,02_03,
DeepFakeDetection/02_04__podium_speech_happy__8CH7R4LW.mp4,FAKE,1075,1920,1080,dfd,02_04,
DeepFakeDetection/02_06__exit_phone_room__HZAXM70B.mp4,FAKE,261,1920,1080,dfd,02_06,
DeepFakeDetection/02_06__podium_speech_happy__N8OSN8P6.mp4,FAKE,1076,1920,1080,dfd,02_06,
DeepFakeDetection/02_06__podium_speech_happy__SU4OQCS9.mp4,FAKE,1076,1920,1080,dfd,02_06,
DeepFakeDetection/02_06__talking_angry_couch__GH8TGTBS.mp4,FAKE,1278,1920,1080,dfd,02_06,
DeepFakeDetection/02_06__talking_angry_couch__J1W9R0NG.mp4,FAKE,1269,1920,1080,dfd,02_06,
DeepFakeDetection/02_06__talking_angry_couch__MKZTXQ2T.mp4,FAKE,1279,1920,1080,dfd,02_06,
DeepFakeDetection/02_06__walk_down_hall_angry__0M6JNS5D.mp4,FAKE,227,1920,1080,dfd,02_06,
DeepFakeDetection/02_06__walking_and_outside_surprised__N8OSN8P6.mp4,FAKE,792,1920,1080,dfd,02_06,
DeepFakeDetection/02_06__walking_down_indoor_hall_disgust__U6MDWIHG.mp4,FAKE,821,1920,1080,dfd,02_06,
DeepFakeDetection/02_07__exit_phone_room__9NVRE2KQ.mp4,FAKE,273,1920,1080,dfd,02_07,
DeepFakeDetection/02_07__hugging_happy__1JCLEEBQ.mp4,FAKE,678,1920,1080,dfd,02_07,
DeepFakeDetection/02_07__meeting_serious__1JCLEEBQ.mp4,FAKE,985,1920,1080,dfd,02_07,
DeepFakeDetection/02_07__outside_talking_pan_laughing__O4SXNLRL.mp4,FAKE,633,1920,1080,dfd,02_07,
DeepFakeDetection/02_07__secret_conversation__0IYV5DQ5.mp4,FAKE,648,1920,1080,dfd,02_07,
DeepFakeDetection/02_07__walk_down_hall_angry__U7DEOZNV.mp4,FAKE,208,1920,1080,dfd,02_07,
DeepFakeDetection/02_07__walking_and_outside_surprised__1VMZUH1W.mp4,FAKE,991,1920,1080,dfd,02_07,
DeepFakeDetection/02_07__walking_down_street_outside_angry__O4SXNLRL.mp4,FAKE,484,1920,1080,dfd,02_07,
DeepFakeDetection/02_09__exit_phone_room__HIH8YA82.mp4,FAKE,265,1920,1080,dfd,02_09,
DeepFakeDetection/02_09__kitchen_pan__9TDCEK1Q.mp4,FAKE,573,1920,1080,dfd,02_09,
DeepFakeDetection/02_09__kitchen_pan__HIH8YA82.mp4,FAKE,576,1920,1080,dfd,02_09,
DeepFakeDetection/02_09__outside_talking_pan_laughing__6KUOFMZW.mp4,FAKE,621,1920,1080,dfd,02_09,
DeepFakeDetection/02_09__podium_speech_happy__9TDCEK1Q.mp4,FAKE,1075,1920,1080,dfd,02_09,
